REVIEW;FEELING
Portanto, não há como conectá-lo aqui nos EUA, a menos que eu use um conversor.;0
Bom caso, valor excelente.;1
Ótimo para o maxilar.;1
Ligado ao carregador para conversas com duração superior a 45 minutos. PRINCIPAIS PROBLEMAS !!;0
O microfone é ótimo.;1
Eu tenho que apertar o plugue para alinhar corretamente para obter um volume decente.;0
Se você tiver várias dezenas ou centenas de contatos, imagine a diversão de enviar cada um deles um por um.;0
Se você é proprietário do Razr ... você deve ter isso!;1
Escusado será dizer que desperdicei meu dinheiro.;0
Que desperdício de dinheiro e tempo!.;0
E a qualidade do som é ótima.;1
Ele ficou muito impressionado ao passar da bateria original para a bateria estendida.;1
Se os dois fossem separados por apenas 5 pés ou mais, comecei a notar um excesso de som estático e distorcido do fone de ouvido.;0
Muito boa qualidade;1
"O design é muito estranho, pois o ""clipe"" do ouvido não é muito confortável.";0
Altamente recomendado para quem tem um telefone de dente azul.;1
Aconselho que TODOS NÃO SEJAM ENGANADOS!;0
Por enquanto, tudo bem!.;1
Funciona bem!.;1
Ele se encaixa de uma maneira que faz você pensar quanto tempo esse mecanismo duraria.;0
Entrei no site da Motorola e segui todas as instruções, mas não consegui emparelhá-lo novamente.;0
Comprei isso para usar com o Kindle Fire e adorei!;1
Os comerciais são os mais enganosos.;0
Ainda tenho que rodar esta nova bateria abaixo de duas barras e são três dias sem carregar.;1
Comprei para minha mãe e ela teve um problema com a bateria.;0
Ótima combinação de Pocket PC / telefone.;1
Eu já possuo este telefone há 7 meses e posso dizer que é o melhor celular que já tive.;1
Não achei que as instruções fornecidas fossem úteis para mim.;0
As pessoas não podiam me ouvir falar e eu tive que puxar o fone de ouvido e falar ao telefone.;0
Não tem carga.;0
Este é um pequeno telefone simples de usar, mas a quebra é inaceitável.;0
Este produto é ideal para pessoas como eu, cujas orelhas são muito sensíveis.;1
É inutilizável em um carro em movimento na velocidade da estrada.;0
Ainda tenho mais dois anos neste contrato e odeio este telefone.;0
O carregador de carro e o carregador CA estão incluídos para garantir que você nunca fique sem suco.;1
Você precisa de pelo menos três minutos para acessar sua lista telefônica desde o primeiro momento em que liga o telefone. A vida útil da bateria é curta.;0
Manteve-se muito bem.;1
Desempenho ruim do tempo de conversação.;0
O case é ótimo e funciona bem com o 680.;1
produto inútil.;0
Ele possui uma ótima câmera, com 2MP, e as fotos são agradáveis ??e claras, com ótima qualidade de imagem.;1
Não fiquei impressionado com este produto.;0
Bom fone de ouvido com o preço certo.;1
Eu só ouço lixo para áudio.;0
Excelente fone de ouvido bluetooth.;1
Tem todos os recursos que eu quero;1
Quem em sã consciência vai comprar esta bateria?;0
DEPOIS DE ARGUIR COM A VERIZON EM RELAÇÃO AOS CHAMADAS GOTAS, DEVOLVEMOS OS TELEFONES APÓS DOIS DIAS.;0
Este caso parece bem feito.;1
Decepcionado com a bateria.;0
Não é alto o suficiente e não liga como deveria.;0
boa proteção e não torna o telefone muito volumoso.;1
